t,lower,upper
4.100000E1,-1.707602E-2,-1.237427E-1
4.110000E1,,
4.120000E1,,
4.130000E1,,
4.140000E1,,
4.150000E1,,
4.160000E1,,
4.170000E1,,
4.180000E1,,
4.190000E1,,
4.200000E1,-1.777778E-2,-1.237427E-1
4.210000E1,,
4.220000E1,,
4.230000E1,,
4.240000E1,,
4.250000E1,,
4.260000E1,,
4.270000E1,,
4.280000E1,,
4.290000E1,,
4.300000E1,-1.820103E-2,-1.228070E-1
4.310000E1,,
4.320000E1,,
4.330000E1,,
4.340000E1,,
4.350000E1,,
4.360000E1,,
4.370000E1,,
4.380000E1,,
4.390000E1,,
4.400000E1,-1.867299E-2,-1.228070E-1
4.410000E1,,
4.420000E1,,
4.430000E1,,
4.440000E1,,
4.450000E1,,
4.460000E1,,
4.470000E1,,
4.480000E1,,
4.490000E1,,
4.500000E1,-1.909347E-2,-1.228070E-1
4.510000E1,,
4.520000E1,,
4.530000E1,,
4.540000E1,,
4.550000E1,,
4.560000E1,,
4.570000E1,,
4.580000E1,,
4.590000E1,,
4.600000E1,-1.930989E-2,-1.228070E-1
4.610000E1,,
4.620000E1,,
4.630000E1,,
4.640000E1,,
4.650000E1,,
4.660000E1,,
4.670000E1,,
4.680000E1,,
4.690000E1,,
4.700000E1,-1.983680E-2,-1.228070E-1
4.710000E1,,
4.720000E1,,
4.730000E1,,
4.740000E1,,
4.750000E1,,
4.760000E1,,
4.770000E1,,
4.780000E1,,
4.790000E1,,
4.800000E1,-2.004037E-2,-1.228070E-1
4.810000E1,,
4.820000E1,,
4.830000E1,,
4.840000E1,,
4.850000E1,,
4.860000E1,,
4.870000E1,,
4.880000E1,,
4.890000E1,,
4.900000E1,-2.049926E-2,-1.228070E-1
4.910000E1,,
4.920000E1,,
4.930000E1,,
4.940000E1,,
4.950000E1,,
4.960000E1,,
4.970000E1,,
4.980000E1,,
4.990000E1,,
5.000000E1,-2.074881E-2,-1.228070E-1
5.010000E1,,
5.020000E1,,
5.030000E1,,
5.040000E1,,
5.050000E1,,
5.060000E1,,
5.070000E1,,
5.080000E1,,
5.090000E1,,
5.100000E1,-2.131039E-2,-1.228070E-1
5.110000E1,,
5.120000E1,,
5.130000E1,,
5.140000E1,,
5.150000E1,,
5.160000E1,,
5.170000E1,,
5.180000E1,,
5.190000E1,,
5.200000E1,-2.149105E-2,-1.230409E-1
5.210000E1,,
5.220000E1,,
5.230000E1,,
5.240000E1,,
5.250000E1,,
5.260000E1,,
5.270000E1,,
5.280000E1,,
5.290000E1,,
5.300000E1,-2.192741E-2,-1.211696E-1
5.310000E1,,
5.320000E1,,
5.330000E1,,
5.340000E1,,
5.350000E1,,
5.360000E1,,
5.370000E1,,
5.380000E1,,
5.390000E1,,
5.400000E1,-2.223841E-2,-1.211696E-1
5.410000E1,,
5.420000E1,,
5.430000E1,,
5.440000E1,,
5.450000E1,,
5.460000E1,,
5.470000E1,,
5.480000E1,,
5.490000E1,,
5.500000E1,-2.255426E-2,-1.223392E-1
5.510000E1,,
5.520000E1,,
5.530000E1,,
5.540000E1,,
5.550000E1,,
5.560000E1,,
5.570000E1,,
5.580000E1,,
5.590000E1,,
5.600000E1,-2.295860E-2,-1.222880E-1
5.610000E1,,
5.620000E1,,
5.630000E1,,
5.640000E1,,
5.650000E1,,
5.660000E1,,
5.670000E1,,
5.680000E1,,
5.690000E1,,
5.700000E1,-2.317576E-2,-1.221780E-1
5.710000E1,,
5.720000E1,,
5.730000E1,,
5.740000E1,,
5.750000E1,,
5.760000E1,,
5.770000E1,,
5.780000E1,,
5.790000E1,,
5.800000E1,-2.347287E-2,-1.221785E-1
5.810000E1,,
5.820000E1,,
5.830000E1,,
5.840000E1,,
5.850000E1,,
5.860000E1,,
5.870000E1,,
5.880000E1,,
5.890000E1,,
5.900000E1,-2.373307E-2,-1.221697E-1
5.910000E1,,
5.920000E1,,
5.930000E1,,
5.940000E1,,
5.950000E1,,
5.960000E1,,
5.970000E1,,
5.980000E1,,
5.990000E1,,
6.000000E1,-2.404998E-2,-1.221679E-1
6.010000E1,,
6.020000E1,,
6.030000E1,,
6.040000E1,,
6.050000E1,,
6.060000E1,,
6.070000E1,,
6.080000E1,,
6.090000E1,,
6.100000E1,-2.434251E-2,-1.195322E-1
6.110000E1,,
6.120000E1,,
6.130000E1,,
6.140000E1,,
6.150000E1,,
6.160000E1,,
6.170000E1,,
6.180000E1,,
6.190000E1,,
6.200000E1,-2.428656E-2,-1.221415E-1
6.210000E1,,
6.220000E1,,
6.230000E1,,
6.240000E1,,
6.250000E1,,
6.260000E1,,
6.270000E1,,
6.280000E1,,
6.290000E1,,
6.300000E1,-2.453149E-2,-1.219927E-1
6.310000E1,,
6.320000E1,,
6.330000E1,,
6.340000E1,,
6.350000E1,,
6.360000E1,,
6.370000E1,,
6.380000E1,,
6.390000E1,,
6.400000E1,-2.469370E-2,-1.217464E-1
6.410000E1,,
6.420000E1,,
6.430000E1,,
6.440000E1,,
6.450000E1,,
6.460000E1,,
6.470000E1,,
6.480000E1,,
6.490000E1,,
6.500000E1,-2.521643E-2,-1.197661E-1
6.510000E1,,
6.520000E1,,
6.530000E1,,
6.540000E1,,
6.550000E1,,
6.560000E1,,
6.570000E1,,
6.580000E1,,
6.590000E1,,
6.600000E1,-2.567499E-2,-1.197661E-1
6.610000E1,,
6.620000E1,,
6.630000E1,,
6.640000E1,,
6.650000E1,,
6.660000E1,,
6.670000E1,,
6.680000E1,,
6.690000E1,,
6.700000E1,-2.580479E-2,
6.710000E1,,
6.720000E1,,
6.730000E1,,
6.740000E1,,
6.750000E1,,
6.760000E1,,
6.770000E1,,
6.780000E1,,
6.790000E1,,
6.800000E1,-2.585869E-2,-1.194043E-1
6.810000E1,,
6.820000E1,,
6.830000E1,,
6.840000E1,,
6.850000E1,,
6.860000E1,,
6.870000E1,,
6.880000E1,,
6.890000E1,,
6.900000E1,-2.618406E-2,-1.192490E-1
6.910000E1,,
6.920000E1,,
6.930000E1,,
6.940000E1,,
6.950000E1,,
6.960000E1,,
6.970000E1,,
6.980000E1,,
6.990000E1,,
7.000000E1,-2.625821E-2,-1.191010E-1
7.010000E1,,
7.020000E1,,
7.030000E1,,
7.040000E1,,
7.050000E1,,
7.060000E1,,
7.070000E1,,
7.080000E1,,
7.090000E1,,
7.100000E1,-2.660878E-2,-1.188607E-1
7.110000E1,,
7.120000E1,,
7.130000E1,,
7.140000E1,,
7.150000E1,,
7.160000E1,,
7.170000E1,,
7.180000E1,,
7.190000E1,,
7.200000E1,-2.668906E-2,-1.187191E-1
7.210000E1,,
7.220000E1,,
7.230000E1,,
7.240000E1,,
7.250000E1,,
7.260000E1,,
7.270000E1,,
7.280000E1,,
7.290000E1,,
7.300000E1,-2.703662E-2,-1.185999E-1
7.310000E1,,
7.320000E1,,
7.330000E1,,
7.340000E1,,
7.350000E1,,
7.360000E1,,
7.370000E1,,
7.380000E1,,
7.390000E1,,
7.400000E1,-2.713229E-2,-1.184457E-1
7.410000E1,,
7.420000E1,,
7.430000E1,,
7.440000E1,,
7.450000E1,,
7.460000E1,,
7.470000E1,,
7.480000E1,,
7.490000E1,,
7.500000E1,-2.732105E-2,-1.185965E-1
7.510000E1,,
7.520000E1,,
7.530000E1,,
7.540000E1,,
7.550000E1,,
7.560000E1,,
7.570000E1,,
7.580000E1,,
7.590000E1,,
7.600000E1,-2.756659E-2,-1.174269E-1
7.610000E1,,
7.620000E1,,
7.630000E1,,
7.640000E1,,
7.650000E1,,
7.660000E1,,
7.670000E1,,
7.680000E1,,
7.690000E1,,
7.700000E1,-2.760064E-2,-1.174269E-1
7.710000E1,,
7.720000E1,,
7.730000E1,,
7.740000E1,,
7.750000E1,,
