frame_number,time_seconds,foam_area_pixels,total_area_pixels,foam_percentage,beer_area_pixels,beer_percentage,foam_to_beer_ratio
107,3.5707705718270573,286596,378225,75.77394408090422,91629,24.226055919095778,3.127787054316865
108,3.604142259414226,286315,378225,75.69964967942362,91910,24.300350320576378,3.115167011206615
109,3.637513947001395,286596,378225,75.77394408090422,91629,24.226055919095778,3.127787054316865
110,3.6708856345885637,286203,378225,75.6700376759865,92022,24.329962324013486,3.1101584403729543
111,3.7042573221757324,286215,378225,75.67321039064049,92010,24.32678960935951,3.110694489729377
112,3.7376290097629012,285986,378225,75.61266441932713,92239,24.387335580672882,3.100488947191535
113,3.77100069735007,286034,378225,75.62535527794302,92191,24.374644722056978,3.102623900380731
114,3.804372384937239,285663,378225,75.5272655165576,92562,24.472734483442395,3.0861800738964154
115,3.837744072524407,285755,378225,75.55158966223809,92470,24.448410337761914,3.0902454850221694
116,3.871115760111576,285509,378225,75.48654901183158,92716,24.513450988168415,3.0793929850295525
117,3.904487447698745,285604,378225,75.51166633617555,92621,24.488333663824445,3.083577158527764
118,3.9378591352859136,285378,378225,75.45191354352568,92847,24.548086456474323,3.0736372742253386
119,3.9712308228730824,285229,378225,75.41251900323881,92996,24.587480996761187,3.067110413351112
120,4.004602510460251,284806,378225,75.30068081168616,93419,24.699319188313833,3.0486945910360848
121,4.0379741980474195,284886,378225,75.32183224271267,93339,24.678167757287326,3.0521646900009642
122,4.071345885634589,284556,378225,75.23458258972833,93669,24.765417410271663,3.03788873586779
123,4.104717573221757,284314,378225,75.17059951087316,93911,24.829400489126844,3.0274834683902845
124,4.138089260808926,284300,378225,75.16689801044352,93925,24.83310198955648,3.0268831514506256
125,4.171460948396095,284016,378225,75.09181043029942,94209,24.908189569700575,3.0147438142852594
126,4.204832635983264,283673,378225,75.00112366977328,94552,24.998876330226715,3.0001797952449447
127,4.238204323570432,283890,378225,75.05849692643268,94335,24.94150307356732,3.0093814596915247
128,4.2715760111576015,283560,378225,74.97124727344836,94665,25.028752726551655,2.9954048486769134
129,4.30494769874477,283396,378225,74.927886839844,94829,25.07211316015599,2.988495080618798
130,4.338319386331939,283039,378225,74.83349857888822,95186,25.16650142111177,2.97353602420524
131,4.3716910739191075,282858,378225,74.78564346619075,95367,25.21435653380924,2.965994526408506
132,4.405062761506277,282715,378225,74.74783528323088,95510,25.252164716769123,2.9600565385823474
133,4.438434449093445,282614,378225,74.72113160155992,95611,25.27886839844008,2.955873278179289
134,4.471806136680613,282288,378225,74.6349395201269,95937,25.36506047987309,2.9424309703242755
135,4.505177824267783,282223,378225,74.61775398241788,96002,25.382246017582126,2.939761671631841
136,4.538549511854951,282045,378225,74.5706920483839,96180,25.429307951616103,2.932470368059888
137,4.57192119944212,281963,378225,74.54901183158174,96262,25.45098816841827,2.9291205252332175
138,4.605292887029289,281727,378225,74.48661511005355,96498,25.51338488994646,2.9195112852079834
139,4.638664574616458,281783,378225,74.50142111177209,96442,25.498578888227907,2.9217871881545383
140,4.672036262203626,281206,378225,74.34886641549342,97019,25.651133584506574,2.898463187623043
141,4.7054079497907955,281428,378225,74.40756163659198,96797,25.592438363408025,2.907404155087451
142,4.738779637377964,281297,378225,74.37292616828607,96928,25.627073831713926,2.9021232254869593
143,4.772151324965133,281066,378225,74.31185141119704,97159,25.68814858880296,2.892845747691928
144,4.805523012552301,280783,378225,74.23702822394077,97442,25.762971776059224,2.881539787771187
145,4.83889470013947,280907,378225,74.26981294203185,97318,25.73018705796814,2.8864855422429563
146,4.872266387726639,280690,378225,74.21243968537247,97535,25.787560314627537,2.877838724560414
147,4.905638075313807,280610,378225,74.19128825434595,97615,25.80871174565404,2.8746606566613737
148,4.939009762900977,280418,378225,74.14052481988234,97807,25.859475180117652,2.8670545053012564
149,4.972381450488145,280341,378225,74.12016656751933,97884,25.879833432480666,2.8640125045972784
150,5.005753138075314,280034,378225,74.03899795095512,98191,25.96100204904488,2.8519314397449866
151,5.0391248256624825,280137,378225,74.06623041840174,98088,25.933769581598256,2.8559762662099337
152,5.072496513249652,279675,378225,73.94408090422367,98550,26.055919095776325,2.8378995433789953
153,5.10586820083682,279878,378225,73.99775266045343,98347,26.002247339546564,2.845821428208283
154,5.139239888423989,279559,378225,73.91341132923525,98666,26.086588670764755,2.83338738775262
155,5.172611576011158,279482,378225,73.89305307687223,98743,26.106946923127765,2.8303981041694093
156,5.205983263598327,279115,378225,73.79602088703814,99110,26.20397911296186,2.816214307335284
157,5.239354951185495,279243,378225,73.82986317668055,98982,26.17013682331945,2.821149299872704
158,5.272726638772664,278636,378225,73.66937669376694,99589,26.330623306233065,2.7978592013174146
159,5.306098326359833,278810,378225,73.71538105624958,99415,26.284618943750417,2.804506362218981
160,5.339470013947001,278524,378225,73.63976469032984,99701,26.36023530967017,2.793592842599372
161,5.3728417015341705,278337,378225,73.59032322030538,99888,26.409676779694625,2.786490869774147
162,5.406213389121339,278061,378225,73.51735078326394,100164,26.48264921673607,2.776057266083623
163,5.439585076708508,278038,378225,73.51126974684381,100187,26.48873025315619,2.7751903939632885
164,5.4729567642956765,277736,378225,73.43142309471875,100489,26.568576905281247,2.7638447989332167
165,5.506328451882846,277779,378225,73.4427919888955,100446,26.5572080111045,2.7654560659458816
166,5.539700139470014,277474,378225,73.36215215810695,100751,26.637847841893052,2.754057031691993
167,5.573071827057183,277151,378225,73.27675325533744,101074,26.72324674466257,2.742060272671508
168,5.606443514644352,276717,378225,73.16200674201863,101508,26.837993257981363,2.7260610001182175
169,5.63981520223152,277123,378225,73.26935025447816,101102,26.730649745521845,2.741023916440822
170,5.673186889818689,276710,378225,73.16015599180382,101515,26.839844008196177,2.725804068364281
171,5.706558577405858,276603,378225,73.13186595280587,101622,26.868134047194133,2.721881088740627
